 & ncommit & single_class & single_class_percent & single_package & single_package_percent & classes_commit_mean & packages_commit_mean
5.2.0 & 13 & 0 & 0 & 0 & 0 & 23.69  $\pm$  78.21 & 3.54  $\pm$  5.55 \\ \hline 
5.3.0 & 13 & 0 & 0 & 0 & 0 & 89.38  $\pm$  100.88 & 12.46  $\pm$  9.06 \\ \hline
5.4.1 & 100 & 0 & 0 & 0 & 0 & 21.36  $\pm$  56.44 & 5.96  $\pm$  6.08 \\ \hline
5.4.2 & 74 & 0 & 0 & 0 & 0 & 24.97  $\pm$  87.12 & 5.05  $\pm$  8.39 \\ \hline
7.0.6 & 23 & 11 & 47.83 & 12 & 52.17 & 3.78  $\pm$  4.17 & 2.17  $\pm$  1.59 \\ \hline
7.0.7 & 3 & 0 & 0 & 0 & 0 & 280  $\pm$  74.1 & 20.33  $\pm$  6.66 \\ \hline
7.0.8 & 20 & 5 & 25 & 7 & 35 & 17.45  $\pm$  28.05 & 3.2  $\pm$  4.55 \\ \hline
7.0.9 & 48 & 11 & 22.92 & 14 & 29.17 & 19.4  $\pm$  26.69 & 4.52  $\pm$  4.56 \\ \hline
7.1.0 & 33 & 7 & 21.21 & 12 & 36.36 & 27.79  $\pm$  65.27 & 5.3  $\pm$  6.07 \\ \hline
7.2.0 & 106 & 24 & 22.64 & 32 & 30.19 & 12.08  $\pm$  20.67 & 3.88  $\pm$  4.56 \\ \hline
7.3.0 & 44 & 7 & 15.91 & 8 & 18.18 & 26.14  $\pm$  83.16 & 4.98  $\pm$  6.96 \\ \hline
7.3.1 & 7 & 1 & 14.29 & 1 & 14.29 & 6.86  $\pm$  5.58 & 3.71  $\pm$  2.81 \\ \hline
7.4.1 & 35 & 5 & 14.29 & 8 & 22.86 & 40.11  $\pm$  89.13 & 8.14  $\pm$  11.13 \\ \hline
7.5.1 & 48 & 7 & 14.58 & 15 & 31.25 & 20.25  $\pm$  54.37 & 5.52  $\pm$  8.69 \\ \hline
7.6.0 & 41 & 10 & 24.39 & 12 & 29.27 & 34.61  $\pm$  91.91 & 8.44  $\pm$  13.07 \\ \hline
8.0.0 & 610 & 161 & 26.39 & 217 & 35.57 & 12.94  $\pm$  42.87 & 4.1  $\pm$  5.88 \\ \hline
